"Name","ActiveHomeListingCount","AggravatedAssault","AggravatedAssaultRate","AggregateHouseholdIncome","Area","AverageHomeListingPrice","BurglaryRate","CitySalesTaxRate","CrimeRate","Elevation","GiniIndex","HousePriceIndex","HousingUnits","Latitude","Longitude","MedianAge","NumberOfHomes","PerCapitaIncome","Population","UnemploymentRate"
"Montevideo","Missing[""NotAvailable""]",6,0.0011832,162097200,4.7651,"Missing[""NotAvailable""]",0.0019720000000000002,0.,0.0065076000000000005,932.,0.467,"Missing[""NotAvailable""]",2426,44.9501654,-95.7153824,41.,"Missing[""NotAvailable""]",31965,5398,"Missing[""NotAvailable""]"
"Falcon Heights",6996.,3,0.0005339,221014000,2.2337,524274.,0.0023136000000000003,"Missing[""NotAvailable""]",0.0156611,955.,0.471,332.1,2188,44.9880476,-93.174718,33.4,979442,41156,5369,"Missing[""NotAvailable""]"
"Saint Paul Park",6996.,9,0.0016636000000000003,175889100,2.9878,524274.,0.0036969000000000004,0.25,0.0292052,784.,0.3452,332.1,1935,44.8356804,-92.9941282,35.1,979442,33552,5349,"Missing[""NotAvailable""]"
"La Crescent",139.,2,0.0004015,194993900,2.9407,378964.,0.0006023000000000001,0.,0.005019,679.,0.3939,320.86,2352,43.8294661,-91.3020378,42.2,36826,37505,5276,"Missing[""NotAvailable""]"
"North Oaks",6996.,0,0.,516081600,6.9178,524274.,0.,"Missing[""NotAvailable""]",0.0010221,938.,0.4994,332.1,2100,45.0998131,-93.1041372,55.9,979442,100846,5272,"Missing[""NotAvailable""]"
"Lake City",433.,2,0.00038909999999999997,163715500,4.5016,454990.,0.0013619,0.,0.012062200000000002,696.,0.4232,314.89,2406,44.4457046,-92.2809247,50.4,66771,31878,5252,"Missing[""NotAvailable""]"
"Morris","Missing[""NotAvailable""]",0,0.,147679400,4.7957,"Missing[""NotAvailable""]",0.0029851,0.,0.013432800000000002,1.13e3,0.4785,"Missing[""NotAvailable""]",2125,45.5844171,-95.8969571,31.4,"Missing[""NotAvailable""]",28796,5105,"Missing[""NotAvailable""]"
"Redwood Falls","Missing[""NotAvailable""]",9,0.0018178,127258700,5.2455,"Missing[""NotAvailable""]",0.0030297000000000006,0.,0.031306900000000006,1.04e3,0.4061,"Missing[""NotAvailable""]",2028,44.5458614,-95.1045324,39.1,"Missing[""NotAvailable""]",26659,5102,"Missing[""NotAvailable""]"
"Circle Pines",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",179803200,1.7816,524274.,"Missing[""NotAvailable""]",0.25,"Missing[""NotAvailable""]",909.,0.3576,332.1,1891,45.1481148,-93.1424658,39.8,979442,37362,5025,"Missing[""NotAvailable""]"
"Luverne","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",135093700,3.6752,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",0.,"Missing[""NotAvailable""]",1.47e3,0.443,"Missing[""NotAvailable""]",1904,43.6535423,-96.214185,37.1,"Missing[""NotAvailable""]",29974,4946,"Missing[""NotAvailable""]"
"Lindstrom",6996.,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",173823800,3.6042,524274.,"Missing[""NotAvailable""]",0.,"Missing[""NotAvailable""]",925.,0.3611,332.1,1919,45.387736,-92.84399,38.5,979442,36586,4888,"Missing[""NotAvailable""]"
"Becker",6996.,4,0.0008069,171216200,10.55,524274.,0.0026226,0.,0.0094816,971.,0.2926,332.1,1719,45.3830033,-93.8845885,33.3,979442,36084,4877,"Missing[""NotAvailable""]"
"Oak Park Heights",6996.,0,0.,163651100,2.9838,524274.,0.0028158000000000002,"Missing[""NotAvailable""]",0.048873700000000006,784.,0.4429,332.1,2027,45.033767,-92.8129165,46.1,979442,35801,4849,"Missing[""NotAvailable""]"
"Princeton","Missing[""NotAvailable""]",3,0.0006368000000000001,107542200,4.9581,"Missing[""NotAvailable""]",0.0016982,0.,0.034812100000000006,981.,0.4665,"Missing[""NotAvailable""]",1969,45.5676569,-93.5920408,32.8,"Missing[""NotAvailable""]",23681,4819,"Missing[""NotAvailable""]"
"Windom","Missing[""NotAvailable""]",26,0.005918500000000001,120975000,4.1618,"Missing[""NotAvailable""]",0.0018211000000000002,0.,0.021397700000000002,1.36e3,0.3953,"Missing[""NotAvailable""]",1999,43.8735518,-95.1191361,42.,"Missing[""NotAvailable""]",27554,4798,"Missing[""NotAvailable""]"
