,,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2030,36962.9,7691.214,8855.639,25649.74,52568.95,19399.86,71209.91,52363.45,27466.95,28716.1,24200.53,54449.38,27214.56,53483.56,36022.81,27258.05,21720.51,37300.98,48925.49,20617.04,17790.15,27313.36,12673.2,7054.946,44302.88,59216.88,63178.55,28891.67,56996.23,56305.85,28930.76,49929.04,47536.99,34063.82,48485.5,31323.88,34853.87,18845.94,43184.99,19188.25,11441.75,34615.31,19314.31,29089.52,29189.46,20542.63,27441.47,14784.1,31756.74,79210.67,11564.15,36325.84,27689.64,16121.74,4704.665,11169.18,11411.42,9404.878,11894.34,23805.67,19749.08,17044.62,30805.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2029,36201.85,7939.518,8619.194,26414.39,48708.27,20053.67,77639.04,50227.71,28557.4,28571.57,23736.09,55934.12,28266.01,51115.37,32132.08,30392.5,17480.14,40470.14,46303.15,20081.6,21463.01,26654.48,13084.49,7271.195,49341.83,48141.33,67989.02,25415.11,57619.27,55059.67,30977.26,52712.28,51055.57,37535.14,40452.35,33651.75,30981.16,22123.79,43561.16,18640.14,14031.24,37841.3,20619.67,28763.77,26173.63,16749.01,26888.45,15205.57,28381.42,85254.98,12984.58,37798.12,29240.32,15407.06,4130.533,11435.33,11342.8,11151.35,13003.95,24691.04,19855.24,15879.73,30026.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2028,35018.11,8136.867,9230.757,25224.21,56689.78,17917.94,81657.95,52159.03,27761.53,29796.94,26053.07,54400.06,30236.81,52788.77,39907.93,32547.8,17701.79,41457.98,53355.62,18696.03,22443.39,24418.09,13595.02,7243.341,47265.32,58096.04,68490.01,22881.04,61198.89,56370.81,29858.13,50252.98,49962.74,41402.4,45187.55,29838.21,33421.5,19619.82,46733.4,18890.21,11367.31,36987.4,18594.8,30880.71,28677.54,16853.75,27615.52,17621.01,29647.09,80337.84,12352.57,38069.44,30514.6,14407.68,3437.888,11314.03,10299.88,9923.183,14078.13,22818.35,23378.63,17067.12,27521.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2027,38153.8,8864.915,10105.85,27632.96,57489.88,21028.9,75433.26,58418.49,31318.35,30427.3,27822.65,55567.34,29760.81,54884.61,39009.56,30501.26,17748.9,41588.22,51091.3,21191.21,18017.23,29710.01,13798.45,6427.336,48453.79,57196.18,73512.57,30656.64,61700,62187.24,31893.51,54473.86,52545.29,39119.76,51970.89,33752.62,33968.95,21395.81,45743.48,21621.75,13123.39,42147,20045.36,32919.35,29021.55,18255.66,29322.88,18081.07,30509.02,87446.02,11470.38,40624.33,31196.31,16396.46,4031.044,14005.89,11166.29,10495.44,13528.04,25118.95,21142.85,18803.3,29389.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026,39503.22,8639.512,10367.69,27434.06,58206.93,22748.18,80772.4,58012.94,33627.04,30050.95,30334.85,57299.9,34287.75,53146.96,38678.39,35540.96,22999.12,46266.21,52170.09,21541.76,23167.54,29065.01,16734.61,7319.233,49330.29,57029.82,76244.63,31077.24,61142.12,59028.93,34757.02,59271.8,53089.87,39557.43,42630.5,35771,34340.91,20722.52,53585.18,23657.14,14546.63,43997.65,20554.3,31601.98,30267.55,17653.92,31508.98,16184.76,31111.29,90373.34,15269.96,40642.59,31240.27,17403.45,4476.257,13072.77,10678.48,9568.008,15107.37,24225.01,26316.13,16828.37,29875.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2025,39326.39,8367.643,9783.981,26593.52,60378.09,22875.71,84558.4,54834.61,33370.91,32696.23,30797.45,59159.7,32165.48,56462.13,40121.68,31037.24,18890.22,49854.77,53674.43,21929.78,25334.41,30095.95,14175.2,7940.24,50833.87,59430.87,72886.64,27021.6,65724.09,61835.04,31734.52,58998.2,55335.41,40479.71,49083.85,31252.55,35519.59,21685.58,51984.02,23747.89,14991.56,40463.99,21034.8,31077.06,27257.84,18583.68,32369.47,16118.66,33144.52,90769.13,16153.23,42307.84,31570.87,17345.75,4979.104,13735.42,10821.56,12897.55,14186.67,25556.95,22829.61,18941.65,30843.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024,41988.02,8647.048,9606.645,26047.03,56261.9,24528.98,70825.53,55501.41,30772.16,29734.2,29105.54,54858.88,34116.2,49775.45,38953.09,32001.77,23908.53,49756.9,50531.07,19970.91,21464.79,26286.66,16012.76,9196.981,46588.63,58975.45,77298.92,32247.46,60409.53,64567.77,28955.59,57125.46,59403.5,38702.02,50547.27,36154.69,35879.32,18943.65,52267.04,21037.39,16351.89,36321.77,21399.91,33231.51,27533.83,18333.69,31340.64,16805.18,29338.27,94435.84,10419.86,43072.31,30627.12,20972.94,4608.546,15002.24,9786.618,11741.92,14669.32,25743.5,23789.88,20010.67,32137.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023,40269.87,9144.981,11230.05,24361.76,58587.21,22420.57,84598.28,54507.92,27449.29,31377.81,30229.32,59308.63,36851.57,51871.93,44313.37,28281.27,23637.15,50727.36,48303.38,21176.2,21673.73,28082.62,12120.44,7240.405,53294.38,56849.05,79536.58,26829.01,57384.45,61599.22,36004.5,55823.04,56529.52,38849.94,49167.88,34441.43,31536.54,21767.55,52120.93,20171.48,16623.77,43387.43,21243.46,35810.22,31430.07,19025.61,29592.54,19250.16,33668.84,93228.61,12549.71,38847.08,33950.29,17512.25,4510.036,12692.06,10480.3,12815.92,14361.99,26508.45,25286.49,18468.28,31070.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022,37363.49,9273.166,9994.757,28225.07,59971.87,20256.73,81835.54,55344.17,34246.8,31146.05,30585,60014.59,30513.14,54279.47,36112.22,34437.05,20610.48,53655.35,57919.61,20170.25,22109.51,31457.69,14147.1,7770.635,50438.95,61209.77,78573.51,27748.43,58784.56,64850.17,31860.84,56242.83,54749.3,38224.97,43963.88,31909,37503.46,19376.78,52970.48,23306.41,16308.99,38246.38,23523.78,33465.94,29602.39,19021.86,31486.27,16412.42,27571.83,100250.8,13888.25,45171.64,31955.05,19173.22,4940.448,10840.83,9004.338,11663.18,16220.61,22069.59,27149.92,19962.64,32617.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021,37903.2,8097.875,9172.277,25181.56,57149.09,25428.92,80839.01,55254.78,35070.58,31350.32,33687.43,60468.45,32851.54,53693.87,37175.79,31085.43,22296.2,51253.07,54483.58,19467.25,22415.9,27301.66,13975.07,5995.102,55972.18,55324.79,79664.17,31335.35,61040.86,65932.84,30698.13,64285.43,54487.07,39038.41,46231.11,36047.57,41671.74,20476.02,48706.16,18940.57,16266.45,40050.89,24845.3,33597.79,31153.99,18565.99,30396.03,14431.49,30202.07,97745.56,13153.66,41811.09,28314.27,20497.67,5003.015,14699.04,8663.313,10771.27,15476.26,23518.96,27260.48,17420.62,34024.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
