ed_gr=1,Neither parent hold BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed_gr=2,One parent holds BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed_gr=3,Both parents hold BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yr cohort reaches HS graduation,,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ed_gr,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend national four-year post-secondary institution after high school graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1,1607.544,1066.803,446.6096,623.7734,8577.264,541.6726,1846.785,2184.666,1174.822,581.8006,1299.434,1779.954,813.5967,1416.834,1399.046,670.9235,411,1856.348,1583.578,435.3129,792.6506,591.4837,903.2133,425.3118,1732.108,1963.333,2291.552,800.9768,2017.162,5147.091,970.1216,2141.049,4475.484,786.2953,1562.93,1198.993,5112.529,493.0435,2892.68,569.887,1176.645,2293.876,769.746,1437.402,4218.151,412.528,2439.549,2950.327,1658.872,9683.646,582.8738,2001.504,1501.885,862.9095,349.708,977.6789,1708.878,1192.94,2214.231,1326.303,1008.511,729.3127,2951.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1,1538.014,692.4399,445.0022,494.5341,4800.492,522.9337,1783.494,2521.638,886.9611,547.9637,868.1142,2199.229,711.9777,1491.508,1440.475,871.959,558.7352,2630.002,1621.818,397.6091,833.4958,598.239,802.7271,347.2566,2074.541,1597.311,2144.26,732.725,1732.769,4917.84,888.446,2117.824,3157.399,869.2973,1526.383,1778.64,3003.893,619.0906,3397.385,702.132,604.0156,2444.83,583.1747,1677.942,2424.643,459.5779,3639.268,1991.758,706.6082,11989.55,549.7427,1983.886,1298.984,454.5569,42.50785,530.8003,700.4019,907.9382,1406.671,1484.606,1182.67,642.0015,1106.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,1,1620.245,470.1595,493.082,597.6076,4838.69,582.8589,2098.907,2086.751,1123.753,679.5427,878.6057,2345.817,714.3435,1373.789,1348.764,732.921,767.6233,2472.747,1911.952,418.1323,826.9189,725.8755,760.3398,444.808,2186.911,1690.669,2146.118,1013.061,1746.918,4187.059,860.8117,2155.818,3233.809,879.8077,1652.212,1510.087,2939.343,672.9315,3841.84,663.3651,614.2758,2839.546,756.5556,1606.158,2621.573,347.2773,3238.559,1812.108,1023.039,13115.73,665.6441,2486.711,1954.39,388.5017,84.20326,591.2151,843.7611,695.79,859.8542,771.1019,603.1603,700.6638,1418.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,1,1549.511,458.8844,588.0961,747.8262,4852.932,672.1793,2010.906,2112.167,846.2296,594.392,934.2418,2128.878,858.5731,1371.887,1310.311,841.5168,647.7714,2054.192,1657.742,434.1616,887.9653,604.979,826.1883,560.5643,1869.193,1772.13,2505.257,782.5048,1999.194,4778.987,835.6664,1985.505,3315.68,746.4995,1558.645,1481.269,1816.197,634.7327,3749.307,688.4866,467.3515,2591.237,620.0129,1315.419,2618.579,632.566,3581.059,1611.499,922.409,11574.01,867.6663,4013.561,1246.122,720.5129,71.05566,509.869,771.1448,1081.974,1134.825,1060.848,595.5628,792.1216,1802.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,1,1505.776,503.9077,559.8022,656.7949,4155.856,682.7778,2043.956,1852.502,853.9152,633.3007,967.3148,1888.934,741.746,1422.89,1255.623,847.543,483.5932,2010.09,1987.059,474.9761,881.9193,695.6901,773.6927,672.5795,1776.901,1725.598,2489.808,868.4714,1739.653,4738.109,864.0024,1951.517,3242.56,779.7681,1506.799,1448.183,2171.853,658.9703,2809.217,820.6357,855.1375,2260.108,614.4865,1676.63,2304.991,504.1385,3606.912,1981.076,835.1374,12634.49,690.2224,2219.17,1593.558,536.3422,66.18076,502.4201,741.9919,747.16,856.7363,752.0825,701.7681,633.4019,1761.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,1,1448.209,643.928,406.7971,566.4517,4124.604,538.3751,1909.141,1906.306,821.1937,554.6025,832.6993,1923.467,719.38,1614.362,1088.619,720.1306,633.209,1932.212,1903.741,578.3638,673.604,649.442,683.0811,390.5769,2090.447,1713.364,2404.136,838.1185,1488.528,4462.162,791.2733,1674.697,3058.914,714.4495,1397.735,1172.562,3955.217,641.0884,3117.821,712.4833,661.4493,2055.125,626.7382,1243.083,2189.234,575.9293,2655.708,1687.96,1049.393,10499.92,845.1835,2982.028,1083.344,754.3115,124.0714,517.1356,1056.286,603.8431,828.6624,1218.598,416.5071,705.0549,1249.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,1,1306.002,382.1763,533.0908,580.0685,3928.747,728.6085,1949.173,2001.88,961.1068,641.0277,905.769,2352.257,740.9058,1461.764,948.9559,682.7494,498.8481,2413.148,1824.72,501.5457,739.9488,724.3837,707.2949,480.4472,2364.889,1542.806,2407.94,885.0007,1678.34,4246.33,888.8702,1705.435,3046.219,803.0606,1308.652,1281.992,1810.653,608.3168,3398.329,677.3383,676.2554,2324.358,731.3608,1533.575,1953.608,685.866,2779.625,1492.208,1005.467,11317.71,695.5923,3118.991,1200.488,563.4898,53.58224,542.9402,800.0379,637.8002,848.9693,1040.36,458.7776,726.0209,1253.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,1,1394.938,636.7632,484.5365,607.2594,4202.807,574.0614,2030.205,2059.847,916.395,618.5579,1003.928,1881.431,784.5386,1732.987,1011.021,881.7715,519.9774,2712.291,2042.971,480.4067,833.9009,610.9982,691.2361,494.6972,2446.022,1719.444,2557.567,744.6271,1609.005,4629.93,869.6416,1646.316,3087.94,868.3869,1581.573,1319.958,2065.884,650.1911,3439.584,758.0906,581.2852,1949.895,679.1052,1583.752,2534.479,476.8799,3207.281,2205.919,1084.21,11529.43,721.9971,3120.704,1442.901,592.9973,59.55522,615.8896,642.8522,783.6059,840.6381,833.6783,593.6104,871.8911,1627.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,1,1237.359,508.9881,513.0784,710.2474,4076.173,561.1409,1893.673,2113.593,933.1089,589.1788,1103.514,2162.722,671.3375,1475.275,1113.996,889.5664,581.9061,2121.625,1865,438.0288,727.3145,713.7617,751.8063,449.0142,2219.798,1552.508,2686.938,914.7069,1553.742,4942.043,897.9465,1650.109,3222.425,784.0499,1973.355,1231.981,2766.694,580.8918,3248.846,1006.895,694.8872,2237.637,688.8323,1671.5,2373.724,1035.894,3387.72,1923.017,1285.667,11980.79,758.6043,3728.836,1275.561,592.7869,68.81801,607.1407,735.627,618.7402,726.4028,762.5471,621.0463,664.1668,1557.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,1215.726,606.0342,481.9716,635.3336,4197.295,677.567,1903.674,2228.741,978.9592,613.7061,1158.705,2367.521,793.5125,1515.056,1054.293,922.3875,728.16,2849.34,2102.882,489.4786,816.2469,643.4783,816.5406,465.4706,2475.346,1646.155,2694.946,894.1544,1534.932,4065.693,954.9307,1734.718,3501.6,813.731,1955.59,1378.029,2366.753,611.3607,3898.65,1199.463,741.2192,2635.478,733.3814,1767.33,2265.68,645.4982,3092.599,1780.586,834.0196,13175.67,870.7247,3924.49,1269.712,786.9727,104.3897,624.7047,721.8181,681.3108,906.7184,1033.43,843.2762,636.1942,1473.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1213.093,631.0397,531.6807,619.3268,4347.166,593.5839,2083.491,2097.125,1123.461,672.2863,1248.838,2609.861,836.7441,1608.372,940.4865,895.7602,614.8495,2402.103,1988.394,481.1989,758.1254,700.8223,766.4952,529.7059,2335.625,1758.055,2987.982,798.4521,1625.047,4523.261,996.1787,1680.782,3426.104,851.406,2023.052,1458.773,3252.622,747.5895,4150.489,909.29,816.4581,2483.91,869.3647,1651.687,2635.943,666.4781,3046.163,1764.43,1094.039,13958.73,894.5344,4020.111,1575.41,720.0355,82.66454,635.0767,763.2172,654.8487,1217.936,896.168,570.8522,761.9288,1923.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,1116.547,500.5925,503.5019,560.5767,4679.363,669.2675,1783.007,2186.464,904.9641,618.2541,1055.607,2004.952,816.2899,1309.368,867.2032,858.1277,666.5054,2692.489,1981.758,390.7887,736.4897,576.8478,776.9881,411.9262,2165.06,1683.323,3280.751,924.7174,1415.251,4146.762,836.1439,1516.923,3260.333,951.2728,2030.27,1629.93,2648.702,641.743,4357.59,962.274,912.5278,2112.728,829.5894,1632.006,2260.597,644.9985,2765.504,1960.98,717.8781,11982.39,513.9293,4096.291,1537.174,988.2521,76.59203,608.0281,667.3233,617.4149,1014.621,945.6368,651.5218,636.2145,1319.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1098.845,528.6717,469.0368,508.6227,3842.15,585.893,2176.338,1823.441,892.1094,707.8136,1131.474,2204.76,834.1004,1592.815,917.7256,856.8539,810.6814,2866.184,1971.403,416.1416,587.7377,636.7365,678.0235,434.8488,2596.12,1569.692,2769.918,790.3826,1411.176,4043.319,971.5356,1497.812,3388.761,871.0161,1908.962,1703.32,1892.018,593.1245,4024.774,982.0795,835.2233,2674.607,803.1074,1860.445,2723.124,1069.275,2659.259,1833.41,1007.651,13942.8,757.278,3247.95,1502.51,733.9485,59.88847,597.3375,744.0592,617.7194,807.0037,783.4003,868.6454,779.9486,1525.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,930.8192,539.4148,525.7612,643.1133,3800.956,557.3713,1914.453,1824.473,921.1946,659.7079,1285.876,2330.496,666.2908,1207.263,683.7381,961.8301,623.2348,3092.106,2195.492,488.7574,609.9737,746.6738,761.6819,534.5389,2418.84,1584.455,2983.955,873.6039,1253.778,3789.969,772.2529,1236.439,3187.654,723.7333,1722.865,1478.419,2073.734,589.4812,3922.582,971.0526,790.5977,2196.93,711.3769,1947.492,2187.027,799.0809,3057.869,1975.691,1130.251,12446.21,743.7198,3244.917,1338.869,963.3004,86.85131,557.6503,731.5355,622.5948,956.2355,961.1827,723.7671,711.1898,1389.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,936.8763,356.2796,608.298,572.3114,3300.807,635.846,1975.75,1768.874,1107.516,601.0935,1360.256,2468.852,737.2512,1510.711,847.4459,896.5433,761.168,3057.867,2315.038,410.6109,569.8094,736.718,864.5129,388.6722,2607.075,1495.762,2838.01,986.2534,1267.602,4348.255,859.8764,1442.719,3098.465,951.5892,1815.858,1678.885,2632.558,732.161,3756.494,1185.589,752.0286,2285.377,887.5371,1726.787,2511.308,799.6116,2804.161,1513.515,1526.287,12031.59,748.7758,3368.135,1441.251,912.1832,116.8685,647.1417,749.7366,821.7784,785.3854,854.5026,712.8886,625.5087,1552.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1016.038,521.1429,528.9602,702.3098,3569.16,560.5908,2197.204,1848.575,959.2364,636.158,1109.026,2458.303,967.217,1362.234,704.9791,907.6998,656.4146,2862.497,2013.419,555.0598,562.3442,658.1406,806.9876,410.8801,2578.045,1430.984,3237.593,869.225,1407.338,4320.526,757.4105,1199.028,2921.019,846.368,2067.958,1528.075,2627.523,521.0112,4406.513,895.1346,882.4701,2194.343,755.506,1690.479,2322.441,640.5239,3349.615,1725.399,1229.175,13013.69,901.5652,3537.331,1373.654,762.0367,66.61597,662.1937,787.542,629.5513,1080.447,799.8793,706.0637,725.4355,1536.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,769.4309,652.1563,499.2542,618.5477,3650.88,636.6474,2053.235,1867.232,903.3958,658.8107,1300.158,2460.278,830.9875,1391.547,655.8898,1136.313,1151.097,3004.902,2785.646,483.3201,555.019,595.8535,796.649,628.0698,2802.193,1715.419,3284.75,926.1824,1319.968,4094.671,982.4005,1159.223,3048.265,879.3268,1883.98,1558.008,2744.29,759.5349,4521.059,1097.099,979.8073,2769.602,893.1006,2210.162,2592.854,562.5043,3367.572,1647.37,1357.413,15314.99,777.0739,3819.797,1625.525,929.4126,79.47282,537.2668,794.7805,668.4987,1066.071,1012.62,880.2336,977.8301,1631.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,881.1616,544.8026,564.3907,707.3706,3738.59,732.1163,2177.137,1832.382,1053.644,572.2099,1399.903,2808.675,800.8823,1822.082,680.0215,1170.175,762.0621,3360.494,2392.042,618.236,508.3056,998.8027,896.8295,439.2049,3331.301,1743.179,3553.673,837.5742,1372.548,4619.644,899.4103,1176.44,3491.339,812.3021,2038.572,1828.137,3342.466,648.4841,4338.052,1135.51,1164.233,2590.95,757.6315,2120.722,2647.455,737.3687,3334.323,1734.767,1516.464,14047.3,840.9305,4161.277,1418.811,1085.653,88.57185,533.6481,815.6454,767.7833,1207.257,1097.938,842.0753,838.9993,1688.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,2,650.3245,242.8215,211.7163,257.371,1787.768,373.3039,1361.819,1062.954,407.8332,457.0084,628.4889,1026.326,1309.612,769.3521,480.8739,356.5288,339.5166,922.4059,900.5938,255.7024,279.5571,249.6462,343.6587,195.3165,1495.709,918.048,1217.841,375.6657,865.7531,2362.331,506.5371,1012.426,1610.778,887.2332,821.6662,930.5721,1214.159,354.9046,2511.886,318.7164,265.8888,1114.668,461.8544,856.1008,1054.908,282.7552,1407.965,1189.336,449.6885,7491.056,913.0695,1263.405,614.9312,551.0288,39.33733,254.0449,266.7644,352.354,835.5223,860.3382,349.4859,364.4252,847.3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2,736.8164,315.1042,257.7065,319.1518,1979.671,361.9594,1214.994,1148.134,514.1175,536.795,466.1593,1204.265,553.2884,841.7243,472.8232,402.4637,472.8405,1250.396,1071.053,339.5587,282.8111,262.8653,349.109,264.5696,1064.972,1051.587,1382.047,452.4319,950.3072,2594.281,440.3358,861.8627,1499.639,810.9504,1072.484,996.839,1288.314,780.1573,2568.163,389.523,333.8832,1081.778,469.9175,931.8068,1057.288,266.46,1799.817,1227.948,538.3609,6778.593,791.6259,1638.467,849.8036,414.6812,40.23243,299.3122,438.6972,303.8798,849.9797,533.4625,354.2325,439.6725,1887.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2,796.1622,366.283,217.5906,293.8369,2410.096,333.9138,1460.17,1291.478,451.1456,468.6956,501.6268,1250.534,351.2732,772.2168,473.5828,466.2286,411.3484,978.7591,1054.149,293.393,298.8243,320.6366,486.369,181.2047,1354.544,1035.423,1347.147,461.0397,1113.462,2252.586,616.1919,852.3443,1459.836,620.508,938.5529,777.8165,1417.814,399.3258,1994.986,332.915,336.0309,1192.962,696.939,1343.169,1663.359,276.5793,1974.172,1445.063,664.0383,7742.13,442.0145,1532.263,723.0588,440.9168,52.9318,287.4732,437.0675,349.9477,819.6073,512.5807,409.7599,505.7945,1310.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,2,666.7343,273.567,263.8839,316.4671,2362.705,404.1596,1400.198,1218.651,504.6808,520.6152,456.1811,1215.015,403.2603,982.3231,568.3855,515.1127,486.4521,1609.656,978.926,323.6094,297.6545,289.3996,482.9488,339.6277,1479.518,1152.011,1201.173,533.9984,919.6382,2081.816,492.5057,832.7434,1586.591,738.86,1209.872,961.6634,1095.557,487.7929,2126.042,697.084,357.4063,1530.421,485.8608,735.2775,1183.014,296.8291,1861.059,1154.174,828.696,6993.998,535.1871,1769.577,1039.449,367.7529,47.59583,377.2995,529.6839,384.8603,562.4961,753.3201,608.2018,477.038,963.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2,635.2748,271.3035,231.0816,294.2379,2129.914,413.6203,1508.228,1238.154,471.6103,490.2881,396.5837,1144.928,599.1447,958.5673,491.9029,632.4398,296.1265,1145.432,1389.138,313.7594,327.3081,281.8539,506.7222,236.4678,1361.588,984.8181,1396.103,606.0632,892.6359,2474.764,534.5933,781.007,1583.766,893.0711,1121.445,913.2625,988.4236,541.1807,3032.257,508.8402,542.2126,1433.712,619.5114,1056.675,1270.914,374.0317,1584.706,1026.655,740.2529,7352.23,399.0656,1793.602,1092.343,707.2285,37.43028,397.7545,498.5266,892.295,581.121,507.1268,472.9313,519.233,1457.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2,613.3829,253.5747,235.8264,388.3844,2143.069,407.3101,1679.552,1206.137,421.5296,518.7324,504.3743,1264.712,390.2668,869.4091,453.464,473.7378,559.8231,1657.132,1356.779,330.3134,293.0292,323.3323,376.6189,297.0623,1362.415,1161.854,1291.1,501.1787,854.9943,2361.824,505.8549,755.6729,1483.832,603.9941,1401.469,923.5815,1398.313,481.0235,2160.732,382.2444,246.3412,1356.064,429.5396,1096.704,1383.34,404.2666,1502.484,1322.764,964.3228,7583.521,766.1119,1495.898,716.9034,591.635,98.95827,270.0326,522.714,364.9012,829.1405,585.828,599.1694,543.9876,1105.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2,588.4749,292.5753,288.0891,301.2751,2030.094,416.7833,1441.159,1221.587,571.5809,541.4229,589.0489,1185.827,511.071,867.8293,357.097,561.2831,406.8724,1684.598,1121.507,304.9692,296.8268,323.7023,422.1172,223.8017,1439.581,819.0927,1173.042,490.0188,948.9643,2644.612,494.5577,819.5645,1516.345,697.2086,1258.693,850.3633,1014.161,555.3272,2214.775,468.5074,299.8354,1546.522,614.32,1082.183,1135.607,344.2827,1696.206,1123.354,1031.483,6146.852,377.6993,1940.672,811.8464,388.028,56.89027,476.2955,382.8632,464.0203,634.964,614.1052,804.4498,433.7905,1228.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,2,542.8796,246.8617,278.5062,402.5767,2141.688,445.3669,1646.853,1122.423,454.4048,499.1564,523.7489,1650.142,474.7157,946.7316,394.9243,556.1659,443.0983,1406.191,1365.636,329.6741,279.2044,286.7764,481.9395,257.8244,1217.802,1239.957,1280.061,411.9754,977.4351,2502.555,486.7413,815.5959,1722.903,724.7606,1348.911,960.7819,1301.498,462.7467,2573.328,470.3069,331.4194,1565.177,631.4377,893.2544,1663.687,271.4133,1652.118,1044.579,614.7675,7738.485,362.7399,2066.969,801.1194,583.0108,47.71608,421.7672,533.8152,613.4525,773.1106,554.7827,665.5743,492.6798,1636.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2,580.781,401.7864,284.5206,384.5077,1813.271,513.4147,1562.078,1314.016,500.0761,541.6037,643.2614,1129.27,509.5053,1109.359,389.903,447.8723,405.9116,2225.242,1292.254,332.3274,250.7814,398.5666,414.4353,256.0743,1261.613,972.0656,1690.291,431.1824,921.1367,2360.103,678.1432,752.655,1813.387,760.9136,1349.569,886.316,1321.864,571.0708,2530.085,504.4679,397.2737,1692.874,668.1931,1313.424,1410.904,523.886,1328.785,850.3652,807.6498,8806.729,485.9254,2503.433,1103.558,793.3372,131.5879,387.1722,410.3904,538.0414,711.722,648.5125,395.5061,463.6733,1104.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,540.9581,267.8192,384.3329,475.5294,2335.473,540.4417,1556.333,1153.682,588.1339,568.9889,508.054,1041.511,492.4154,1199.785,345.3586,570.8782,485.5555,1703.709,1448.415,313.4224,268.3204,440.75,644.4872,301.2411,1676.921,1117.973,1951.888,452.2412,1014.685,2592.38,556.9519,787.0828,1822.65,888.256,1189.036,986.824,1363.847,550.2624,3177.448,669.6087,494.0572,1688.367,756.1704,1143.786,1880.26,561.3936,1966.404,1132.867,1016.114,8520.854,836.5125,2916.333,1100.405,737.7101,70.78791,313.553,509.5656,388.2166,797.6882,478.2967,736.3374,665.106,1038.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,594.7786,308.6292,332.0266,477.0086,2196.121,519.8189,1721.199,1191.299,520.1884,719.3246,705.5444,1556.605,733.6129,1056.5,382.071,541.7883,366.5178,1810.873,1312.619,490.2371,289.5224,391.5608,522.3031,284.6461,1628.929,1246.651,1689.842,564.9665,990.8823,2529.407,579.4912,810.7177,2004.194,928.3076,1255.705,1224.044,1880.819,532.2257,2956.075,857.8101,479.7243,1787.092,637.8793,1199.533,1382.971,427.7003,1695.629,1341.124,1041.395,9538.686,593.6495,2755.471,970.6901,1011.676,110.8336,480.8809,560.7977,670.6219,572.8358,733.2166,484.6101,598.0432,1137.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2,502.7221,229.1817,234.6331,492.411,1975.618,552.8875,1665.869,1245.735,530.3561,515.3541,549.6215,1505.346,620.5965,850.5536,384.7889,573.5485,535.8499,1875.372,1205.352,314.2907,272.1024,351.5987,368.6803,312.9794,1268.786,1148.461,1687.972,660.5594,876.595,2881.571,608.8832,716.7483,1910.154,880.8853,1570.357,1315.615,2057.063,607.9433,3113.404,570.077,422.9868,1467.662,695.5486,1238.469,1406.936,393.2147,1491.555,1083.429,733.1075,9517.656,489.419,2265.289,1126.971,976.9056,132.2155,441.7015,651.6013,414.0732,667.5715,713.0299,534.3541,606.8973,1394.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,487.4209,337.2481,394.0375,477.3173,1692.356,503.1486,1600.109,1151.756,406.1488,517.7477,619.5469,1564.411,613.2144,856.7261,364.1385,580.7589,442.981,2162.239,1233.246,351.437,245.5985,403.8731,443.9872,300.8251,1746.613,1116.942,1889.609,390.8209,756.5747,2510.058,711.5508,807.4451,1836.459,922.2708,1578.428,1101.448,1311.066,774.8765,2951.366,508.664,559.7922,1798.456,707.2584,1561.05,1203.916,523.3828,1520.492,1447.323,982.6506,8199.136,676.5562,2466.868,1322.637,778.2745,39.70762,311.4006,410.4122,489.2953,1047.485,566.0424,539.8157,777.0616,1207.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2,449.5468,290.9284,278.2865,335.7747,1911.517,512.7336,1910.89,985.2631,632.217,540.2943,648.4843,2008.137,532.4237,821.564,342.6702,664.0346,457.8232,1989.047,1710.789,282.859,252.0536,300.1515,414.3471,252.7879,1694.205,1268.678,2111.772,462.7184,857.6406,2586.809,492.7986,625.9032,1654.679,1028.87,1466.089,916.7173,2228.637,519.9879,3125.517,737.8339,552.2982,1615.404,658.8422,1403.205,1477.113,444.424,2075.38,1205.438,937.257,9028.529,560.0434,2994.3,1074.699,943.8513,115.6097,362.2693,460.7464,407.3621,634.0439,688.9185,713.9621,666.4896,1321.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,529.757,227.9007,348.4263,373.7964,1855.832,542.0234,1675.227,1136.222,538.4637,594.3077,833.7926,1298.319,429.5022,1142.488,276.3992,630.8401,428.2444,1999.874,1402.848,447.3614,279.1784,292.479,488.7878,232.3743,1763.824,1237.722,2025.532,589.6976,899.9145,2512.992,516.846,695.2621,1930.362,880.1846,1756.598,1441.868,2134.674,543.6841,3036.52,668.1816,686.0371,1606.556,815.6393,1472.941,1799.648,478.3851,1526.422,1165.236,632.9791,9654.909,656.4588,2557.231,1206.486,1028.973,32.44838,340.7087,519.4338,335.2727,778.2511,665.5103,551.6991,620.076,1408.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2,358.9632,267.5127,356.9856,405.21,1754.316,612.3815,1709.5,1219.002,467.2653,494.5577,838.7104,1886.904,553.1701,739.9495,294.6929,463.3929,589.8087,2187.594,1285.658,401.2697,208.1781,342.7333,482.0312,254.2919,1595.692,1243.371,1548.55,603.5363,783.6956,2754.775,543.6904,590.224,1698.306,1014.186,1777.545,1312.307,1458.259,588.8361,2838.78,813.1234,474.8208,1588.541,605.6514,1680.013,1363.572,399.5647,1545.609,1244.53,889.5649,9256.979,444.7851,1945.254,1278.03,771.4586,88.62658,464.2126,594.7355,317.0564,765.0078,655.1591,701.0825,559.517,1404.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2,326.0373,222.3427,267.0798,421.7846,1576.234,536.4797,1606.647,1093.624,580.7981,634.6294,847.398,1605.983,583.4421,1021.546,273.4681,585.3587,575.8025,2190.146,1389.761,264.9224,192.8661,345.0306,507.1159,230.3004,2221.355,1238.672,2008.894,566.9473,802.4489,1991.514,529.0572,478.7956,1829.889,1083.356,1466.253,1192.331,2377.691,614.1303,3546.433,887.2562,663.2574,1721.085,962.8723,1750.126,1469.932,386.6242,1842.895,1326.776,908.5856,9062.042,690.6955,2344.08,1092.256,1012.326,90.17542,377.2779,494.0576,454.7836,799.4398,800.2081,722.8846,549.606,1530.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,486.5733,298.2785,311.3136,488.9606,1746.886,609.629,1593.263,1274.098,655.8836,615.7177,813.1841,1300.756,380.3466,928.9834,270.2285,510.9905,404.791,2068.989,1415.349,381.0912,190.4528,397.5385,420.2868,185.829,1749.102,1184.713,1881.366,637.4303,953.354,2355.268,566.6171,543.8152,1889.48,947.1239,1604.982,1176.577,1887.62,538.2653,3489.158,849.2441,562.3259,1712.783,525.8224,1369.585,1550.917,555.9025,1680.611,1228.822,989.0696,9770.015,465.5137,2912.031,1348.856,681.1581,34.62342,271.5569,396.2029,453.1716,720.1497,703.0351,699.3,584.7687,1518.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
