id,name,enrollment
18505,2024 Fall - ENCM 1800-1 - Introduction to Journalism,20
18506,2024 Fall - MATH 3320-1 - Multivariable and Vector Calculus,10
18507,2024 Fall - ENCM 3000-1 - Literary and Cultural Theory,14
18508,2024 Fall - MATH 3330-1 - Linear Algebra,13
18511,2024 Fall - MATH 5920-1/5930-1 - Mathematics/Computational Data Science Seminar,9
18513,2024 Fall - MATH 5930-1 - Mathematics/Computational Data Science Seminar Presentation,0
18514,2024 Fall - ENCM 1100-1 - Introduction to Communication Studies,36
18515,2024 Fall - ENCM 1220-1 - Introduction to English Studies: Horror Films: All of Us Monsters,19
18516,2024 Fall - MUS 1030-1 - Music in World Cultures,24
18517,2024 Fall - MUS 1030-2 - Music in World Cultures,23
18518,2024 Fall - MUS 1040-1/CEPD 1040-1 - Music Technology for Creative Artists,14
18519,2024 Fall - MUS 1041-1 - Audio Mixing,12
18520,2024 Fall - MUS 1070-1 - Beginning Class Voice,10
18521,2024 Fall - MUS 1070-2 - Beginning Class Voice,8
18522,2024 Fall - MUS 1210-1 - Beginning Class Piano,11
18523,2024 Fall - MUS 1210-2 - Beginning Class Piano,13
18524,2024 Fall - GED 7815-1 - Schools and Society,16
18525,2024 Fall - MUS 1600-1 - Class Violin,7
18526,2024 Fall - EDU 1150-P1 - Schools and Society,6
18527,2024 Fall - MUS 1750-1 - Class Guitar,9
18528,2024 Fall - EDU 1150-LP1 - LAB: Schools and Society,6
18529,2024 Fall - MUS 1850-1/ PPC 1850-1 - Creative Collaboration I,17
18530,2024 Fall - EDU 1250-P1 - Educational Psychology,3
18531,2024 Fall - MUS 3070-1 - Advanced Class Voice,3
18532,2024 Fall - GED 7825-1 - Educational Psychology,16
18534,2024 Fall - EDU 3500-L1 - LAB: Diversity and Education,22
18536,"2024 Fall - GED 7846-1 - Teaching Literacy in the Elementary School K-6, Part I",22
18538,2024 Fall - GED 7846L-L1/L2 - Lab: Teaching Literacy in the Elementary School,22
18540,2024 Fall - GED 7846L-L2 - Lab: Teaching Literacy in the Elementary School,0
18544,2024 Fall - LGST 8000-1 - Foundations in Law,15
18546,2024 Fall - LGST 8000-2 - Foundations in Law,13
18547,"2024 Fall - NEUR 3100-1 - Neurological Diseases, Disorders, and Society",23
18548,2024 Fall - LGST 8010-1 - Civil Litigation Survey and Procedure,19
18549,2024 Fall - PBHL 3020-1 - Global Health I,11
18550,2024 Fall - LGST 8012-1 - Transactions and Contracts in Business,15
18551,"2024 Fall - PPC 1120-1 - Performance and Community: An Introduction to Theatre, Citizenship, and Belonging",15
18552,2024 Fall - LGST 8015-1 - Regulation in America,18
18553,2024 Fall - PPC 1180-1 - Introduction to Film Studies,31
18554,2024 Fall - LGST 8020-1 - Legal Writing and Research,17
18555,2024 Fall - PPC 1420-1 - Technical Theatre,19
18556,2024 Fall - LGST 8045-1 - Employment Law,19
