Yr cohort reaches HS graduation,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,69058.32,24354.08,31719.58,45046.48,255823.5,41772.12,135595.6,117138.2,65249.98,42170.07,41087.76,81948.91,44485.29,84368.98,51445.72,67343.67,25591.09,81430.18,74125.57,26920.23,43815.7,36138.75,45330.3,26474.78,70127.22,107212.6,106360.4,56641.13,100358.8,89731.29,61277.06,92067.89,181769.2,54811.07,68416.38,82268.69,60936.52,40563.94,126825.6,33964.71,24648.41,121045.5,41838.21,57019.82,110602.5,29955.85,161950.9,74025.1,48129.21,245128.6,39948.94,84291.48,76909.43,23199.21,5890.435,33617.67,43137.98,34652.21,51804.09,50184.3,39460.48,39087.68,85871.98
2025,69216.53,26291.68,29511.45,43520.32,257407.9,37540.86,145813.6,113868.4,66998.78,45235.32,42487.86,86667.59,44220.16,83125.78,53513.32,62695.65,22566.96,84397.56,77702.45,28093.84,46489.74,38222.98,45384.43,31369.85,69842.59,113903.5,100475.8,54625.73,111059.1,93481.28,60893.35,91653.34,189415.4,54351.94,72129.13,87233.2,63504.24,43686.15,131793.8,33643.89,23540.9,122293.9,42409.59,54740.41,114819.8,29094.01,163972.1,77606.88,48600.59,258214.8,40145.01,84261.44,81918.3,26249.91,5677.323,37014.54,41629.38,41170.07,54346.82,49497.54,34249.9,39473.39,89760.52
2024,68444.61,23386.31,30500.95,43296.82,254392.8,42031.78,126970.6,116461.2,61262.48,41259.4,40381.68,77759.89,44757.13,74097.52,52251.71,60431.93,27369.52,86755.7,70466.95,23714.34,45548.25,32650.06,45655.54,29716.47,65774.38,112315.7,104020.9,58278,104148.4,93870.53,55232.03,87634.82,180608.2,55370.11,74609.23,89976.45,60928.44,41002.98,131560.6,29565.64,26773.85,113907.5,41705.86,56884.99,105017.3,27980.4,157850.5,76515.91,43411.81,241445.3,29918.15,86552.35,74204.22,25822.36,5267.964,34346.59,40751.88,35759.21,50632.03,49699.99,33812.73,37388.3,80996.72
2023,66647.61,27190.2,28504.95,38525.65,238638.5,38299.89,137763.9,105863.5,57830.43,45495.62,41911.85,84315.73,44227.53,76752.2,56266.82,60689.75,26654,88206.05,70876.7,26363.64,37924.23,35992.25,37466.26,28015.72,75014.85,107167.1,101347.2,50196.54,95591.4,91349.41,64866.76,88958.55,178734.4,54674.95,70647.3,87315.66,50572.62,41264.55,121583.4,29259.93,24841.85,125786.3,42470.16,60434.54,113599,31114.34,158096.5,78562.38,49685.99,253921.4,35911.32,78498.69,79733.56,23621.66,4824.846,30879.74,42365.2,38748.51,51677.86,50215.25,36368.38,37756.27,84491.47
2022,61755.81,26107.59,29681.65,43454.82,242461.1,36415.38,135935.9,108316.6,62959.22,41652.32,41138.87,84585.41,38528.13,75011.05,45708.63,63536.25,23063.34,88698.31,77215.45,25469.49,43334.89,38969.05,42377.14,28826.9,69881.14,108225.5,103563.2,51914.42,96112.84,90247.16,56361.94,81496.63,170609.7,50205.45,67845.23,82990.07,60916.43,36556.05,124824.1,29305.67,23911.43,114336.4,40313.71,58905.54,107103.4,30414.39,165377.7,78955.48,48175.29,246774.4,32460.65,82618.75,69372.98,23450.5,6688.066,32422.05,37887.59,41694.79,53661.86,45939.16,38612.56,38438.04,83052.36
2021,64746.34,22672.11,28563.53,39672.04,231285.5,39454.42,135390.3,105050.3,68578.1,41054.63,45405.16,83467.91,41031.36,76708.48,49955.99,58855.36,24986.68,83370.91,76297.45,24301.03,43092.45,34529.46,41405.82,25511.84,76159.88,106736.5,103338.1,56253.71,101625,98039.95,55093.79,93909.46,172279,55067.29,69172.09,88669.77,64687.41,39638.38,116900.5,27780.41,26269.71,113462.2,45280.25,57615.48,113024.5,28704.04,156370,71948.73,46083.18,236815,38350.07,81193.7,68801.93,26039.8,5826.045,30728.41,39860.95,38760.23,48103.9,41797.05,38164.7,37614.46,82231.86
2020,69283.35,25409.05,29581.31,44471.21,221637.1,37052.6,141654.5,101809.9,62559.79,37365.73,39147.02,83691.35,41543.08,68741.18,53340.6,58150.09,25558.07,91078.43,71003.02,28855.21,41379.18,34974.39,39734.5,27588.45,75398.06,103676.7,99606.52,56399.21,94700.86,93371.06,55012.48,82952.35,166791.2,51464.57,72952.5,87837.05,59564.42,34427.48,116324.5,29316.78,24616.16,106704.5,39318.8,54026.5,98476.59,29141.26,161082.2,71352.59,49126.61,235321.3,31754.73,74722.37,64942.01,21441.36,5230.664,32828.23,38565.8,36172.32,51054.92,42559.55,34141.39,35272.12,74645.27
2019,59579.25,24436.88,28467.36,38880.65,229413,41063.98,134504.8,112017.1,59539.46,42823.82,41611.94,80352.51,41006.63,74718.09,49121.91,61620.48,27999.18,87622.9,81593.85,23633.16,43878.52,31354.73,39097.74,30355.8,73280.71,109975.7,102058,50527.44,96887.27,88242.56,57869.73,84498.91,166034.7,55573.23,67613.69,83023.35,62531.71,41244.31,130116,28934.54,26747.66,115205.9,42011.94,61227.2,106504.3,28885.08,168232.4,74126.99,46646.32,250343.2,35870.98,76181.92,72536.85,27721.63,6051.746,30781.26,35397.88,38289.76,52907.78,43950.94,41733.35,37981.93,81277.11
2018,68507.52,23180.11,27930.43,40475.56,221685.7,38443.73,133445.4,102863,60088.85,38751.3,44965.38,81215.22,39674.82,75761.23,52058.84,63514.16,23071.35,87527.48,71582.11,26766.83,38800.12,37036.29,39175.14,24991.03,81161.48,108861.6,107437,53151.7,96793.95,98372.33,56199.54,90499.7,171705.3,46604.62,66742.09,83812.15,60651.93,36465.91,127796.6,29926.87,28056.31,104656.8,36440.82,56632.23,98683.96,29556.92,165589.5,71820.02,50396.29,239928.5,31733.29,82535.78,62738.9,25230.53,6155.187,29206.42,34507.86,37888.66,48931.84,46625.53,31861.99,38350.39,74702.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend any post-secondary institution after high school graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,40154.7,18512.04,17159.19,27202.29,178147.6,23239.37,86250.03,76097.56,37263.74,29613.1,25052.55,51170.86,33427.14,54795.48,31562.91,32490.53,13581.7,50247.33,46331.21,16855.01,22056.26,22027.9,31624.2,16911.06,49491.81,70771.87,61865.42,34761.51,69467.05,67724,38218.48,54634.44,129699.3,41324.54,44697.58,57516.97,55943.59,26355.28,74662.96,19603.51,17216.69,79197.98,31455.8,38985.6,89481.4,18521.89,88278.51,57912.07,35139.64,162306,25224.46,53527.32,51690.66,19785.99,5560.778,23866.89,33097.85,25576.37,41609.63,39357.8,24671.01,26790.93,65652.65
2034,42533.28,20515.78,17357.75,27031.16,164981.8,23895.29,84049.13,81831.05,37816.76,29041.36,25763.34,59179.8,31027.33,55405.32,31563.49,33931.91,15641.8,59258.75,48580.19,18555.77,21886.61,22821.2,30663.26,16718.54,49184.01,71161.11,65413.92,32988.68,72142.22,73837.18,35593.18,57149.99,114637.3,43366.17,47289.59,61312.27,52896.25,32978.75,83167.15,21510.56,15957.37,76647.84,31701.81,40538.78,81824.91,19304.02,107324.6,56200.19,34507.73,183666,24671.46,56219.63,55188.98,17523.42,2556.228,22438.94,30617.69,26096.63,38403.01,40328.46,26959.46,27518.5,68817.88
2033,41627.07,16847.67,18018.06,26661.6,175288.6,23465.41,92527.48,80234.98,39386.31,29388.83,25136.39,58269.63,29526.81,54238.43,33481.12,36758.4,18073.96,59342.43,49599.02,19869.61,22964.87,24462.4,31738.4,16106.64,52206.44,71823.24,60303,35235.75,75555.98,64980.36,37576.33,57583.63,118582.3,39655.36,45864.66,59665.35,49621.29,28607.88,80179.3,20282.61,15624.82,82917.78,32028.63,41384.47,88463.03,18759.13,106431.8,57405.5,40774.15,189942,25338.38,59797.63,55374.54,14397.86,3818.938,23130.02,31496,26977.59,35294.72,34869.43,23787.99,27986.72,64945.55
2032,44526.08,17528.91,20712.71,29394.75,169277.6,26564.46,92827.77,79674.92,39041.07,31449,26497.07,58630.51,28205.84,56487.36,35021.1,40730.95,18561.1,56877.93,47537.33,19947.27,24364.08,21972.5,31843.4,20472.65,53731.3,77307.23,66922.27,32664.54,76625.05,72679.38,35427.11,58004.59,121780,40460.04,45985.8,61757.31,48023.81,30852.13,88438.67,22566.83,15085.79,88186.19,31284.26,38519.08,85402.38,22932.5,111450.1,57137.69,37289.7,193946.2,27390.96,63998.95,57339.84,17584.87,3620.734,24429.96,33043.56,30083.66,41963.84,41747.95,26291.12,29621.13,66615.02
2031,43479.02,17229.77,18805.58,27384.73,168574.9,26422.48,93865.4,73814.09,38244.97,31227.11,24308.7,52261.18,31460.75,54971.5,35992.07,41612.08,15715.94,59770.7,51823.45,19465.09,26676.52,25055.68,31379.79,18298.68,50780.2,69906.38,69892.18,35742.79,75534.75,71199.77,37411.47,56869.8,123729,41855.25,47209.77,60158.91,51220.09,29225.85,82279.13,22454.21,19348.97,83828.2,30092.65,39089.59,80469.07,22409.75,110005.7,56536.88,36550.93,198871.2,25229.89,56700.52,57774.85,18036.62,3477.92,25570.64,31689.83,33520.4,38987.78,37337.55,27019.91,27539.76,71541.53
2030,43072.06,18524.62,15735.52,29482.33,159597.7,24416.71,89075.12,75515.65,36809.22,27832.67,23825.67,57258.71,27984.11,56447.56,32772.94,32586.53,18953.92,56898.47,51850.71,20004.26,21210.25,24055.23,28674.95,17481.34,51028.29,76144.6,61642.8,34608.7,67891.09,69455.56,34361.63,53217.8,112195.4,35321.88,52847.91,56518.04,52426.49,28126.3,80561.21,19563.96,15362.55,77100.4,30464.03,36270.48,75569.41,21910.49,101775.5,51778.65,38947.73,174708.4,26240.76,56450.02,47928.6,17182.71,4380.918,22701.1,33141.34,23962.96,37986.15,42561.51,22585.97,26947.15,65347.42
2029,41479.88,15017.86,18455.79,27488.03,160514.3,25164.96,92471.48,74560.72,39575,29379.32,25741.79,58728.82,29012.9,53727.36,28597.97,35537.04,15639.74,61079.73,47166.96,19894.18,26229.16,23759.69,29319.62,19070.67,53070.3,67979.58,64748,35336.46,71972.61,71247.18,38680.5,57071.92,115278.4,38258.67,45661.1,60518.06,44893.45,28884.31,83467.23,20098.39,15919.19,81787.3,31405.65,36892.41,74341.16,20238.93,102617.6,54415.68,39498.92,184416.3,26755.94,60050.07,48987.88,15948.3,3314.532,25438.36,31571.75,27063.87,36513.54,41312.97,22955.38,26881.71,65636.48
2028,42260.88,18050.49,17118.01,27960.4,166834.1,25689.63,97072.41,76481.84,37355.36,29546.7,26496,57878.88,31346.62,56059.79,34279.1,36571.53,15659.04,62459.64,53658.88,19008.84,26091.62,22869.16,30119.19,19788.33,53317.28,77545.54,64888.93,33615.44,75770.85,70642.89,38432.78,55675.98,118939.7,40600.26,49924.83,58770.57,45548.37,27847.99,87562.48,19466.6,14421.8,77865.02,29435.52,35822.77,82937.95,21028.43,108323.1,56500.64,37141.06,184614.1,24309.29,61762.57,51260.46,16119.27,2996.442,24441.97,30490.15,26771.13,39157.17,37094.3,26359.75,28734.54,65000.58
2027,43232.64,19871.78,18781.58,29928.65,166902.9,26117.19,94683.34,81576.22,40628.64,29146.24,27827.84,56839.5,29426.73,57697.28,35594.45,39121.47,15965,64230.05,53044.43,18550.28,24084.94,26550.31,30627.1,17846.52,52950.64,74474.13,69912.38,37948.08,75481.34,74458.27,40592.58,59628.2,121685.5,38413.09,53250.62,61169.82,50719.63,30506.63,81140.24,23687.75,16640.42,87811.8,30504.41,38775.64,80203.92,22860.8,110449.1,56216.66,37499.25,189756.9,25620.33,62908.34,53515.38,16721.9,3831.553,25854.78,29955.18,24481.66,39585.47,37573.63,24558.87,28467.2,63203.92
2026,46763.14,17910.48,21013.36,30141.33,180062.4,29601.01,96752.28,80287.95,42893.24,29734,28647.29,57140.54,33353.84,61213.14,34395.52,43402.83,19646.16,65019.92,52254.76,19973.91,27501.95,24465.77,31641.68,17972.95,53672.8,74777.63,74292.51,37968.5,71885.49,70916.14,41990.46,62949.23,125999.8,40306.55,49274.05,61426.54,50630.27,29497.69,94229.33,24572.25,17620.41,89423.44,31731.06,41262.79,80457.6,22308.68,118355.5,56075.71,38175.53,201016.5,29769.26,67614.12,54288.71,18268.92,4629.416,24277.92,30744.73,25674.64,41618.51,37529.63,29271.36,28286.76,66447.98
2025,45915.27,19058.92,19919.71,29601.04,181075.9,27064.68,104937.3,80460.02,44962.22,31494.49,29502.82,61919.64,32821.26,60342.82,35699.59,41387.15,17728.69,67503.68,55182.91,20890.26,30360.53,26720.98,31708.16,20964.95,52994.79,80417.1,71009.55,36871.26,79074.56,74024.56,41138.14,61906.67,131928,39410.37,52304.86,63114.98,53170.91,32227.07,97876.71,24705.4,17029.23,90653.46,32016.96,38591.91,83708.33,21979.7,119061.7,58852.13,38104.26,211036.1,30259.82,66924.84,58270.88,20649.13,4640.574,27588.71,30095.77,30764.53,42945.11,37665,25311.32,29030.86,70095.84
2024,47080.92,17334.14,19962.34,28899.84,179833.8,30120.51,90667.78,81788.27,41654.32,28793.1,28658,55084.93,32962.14,53851.97,35538.38,39797.2,21151.04,69234.48,50492.36,17699.78,29286.2,22818.53,30559.86,20344.98,50717.5,77974.87,72875.39,39555.08,73893.13,74869.63,38615.48,60094.85,126051,40991.27,54126.02,66216.01,51636.95,30673.32,98701.86,21339.22,19673.82,83157.52,31662.19,41668.98,77273,21241.77,115970.1,58099.28,34720.93,198551.6,22066.28,69344.61,53531.15,20592.15,4415.34,25911.2,29134.16,26835.22,39759.21,37622.23,25355.39,27660.28,64272.99
