Yr cohort reaches HS graduation,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,31786.85,8176.395,10507.72,17082.03,66243.77,16784.82,66469.88,49723.56,28285.77,17211.54,20168.69,36173.79,19536.7,36506.38,24126.83,26589.52,9218.675,36537.32,31550.34,13148.81,16494.05,17125.62,15917.36,9036.165,40179.61,50519.45,47724.02,22413.76,31545.56,47944.78,27183.7,41108.32,72975.96,21659.6,31879.91,43822.96,29187.3,18438.09,59070.48,14978.4,12738.41,49139.89,17017.8,26476.39,44419.78,15095.61,53793.12,37497.66,27495.13,127682,16853.93,44605.29,26542.45,13229.79,2379.685,10031.02,14137.9,13526.35,18543,18440.96,16090.45,19292.42,40944.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend national four-year post-secondary institution after high school graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,3439.716,2019.107,1251.602,1667.137,14700.15,1843.714,6790.793,6041.023,2742.45,2049.449,2908.99,5284.209,3265.839,4130.251,2816.365,2013.758,1396.808,6457.813,4816.084,1367.746,1560.165,1448.401,2168.285,1035.788,5998.829,5583.42,6624.958,2228.688,4932.95,11648.11,2749.624,4966.217,9868.265,3348.21,5304.525,4749.255,11789.95,2235.487,11776.03,2230.292,2426.978,7180.583,2840.201,4972.647,9045.075,1421.915,6511.178,6793.625,3869.078,33118.16,2589.567,8803.525,4035.488,3267.357,580.6863,1877.371,3065.271,2494.572,6152.891,4154.449,2335.394,2302.927,7540.904
2034,3651.225,1617.451,1158.634,1683.911,11653.18,2005.591,6763.841,6633.855,2392.163,1993.953,2682.304,6326.791,2442.302,4249.287,2865.493,2247.249,1681.422,8067.331,4850.102,1452.871,1609.219,1490.683,2113.186,1048.064,6135.584,5360.32,6872.603,2044.779,4910.206,12075.49,2615.497,4878.044,8013.888,3393.978,5091.405,5482.13,9316.881,3081.142,12175.74,2484.356,2010.16,6957.705,2845.08,5271.156,7038.181,1591.128,9249.072,5157.684,3383.94,36567.89,2225.428,9431.57,4034.068,2556.466,216.153,1722.894,2159.8,2252.288,5200.291,4256.767,2659.345,2232.219,7873.397
2033,3633.025,1402.255,1219.359,1748.128,12372.58,1817.647,7046.003,5948.609,2559.706,2014.808,2468.418,6331.384,2427.507,4052.091,2705.482,2406.911,1951.791,7906.098,5106.181,1556.978,1649.191,1689.959,2177.501,947.1918,6629.972,5564.735,5975.156,2329.015,5222.612,10938.9,2700.847,4648.662,8410.751,2827.39,4988.559,5477.316,10228.24,2636.32,11949.82,2297.864,1981.04,8104.557,3167.917,5346.496,7990.054,1500.891,9342.454,5589.368,4805.65,40169.96,2032.027,8991.699,4648.872,1956.824,296.8261,1616.354,2214.462,2160.58,4176.072,3335.401,2028.914,2229.429,6728.034
2032,3493.639,1385.718,1313.613,1806.688,12302.34,2187.147,6960.776,6002.232,2345.946,2258.058,2849.849,6124.879,2350.749,4320.748,2823.45,2474.13,2264.979,7705.373,4786.469,1417.98,1666.976,1544.76,2074.269,1496.039,6591.688,5821.357,6887.862,2128.363,5317.78,12485.48,2622.255,4494.17,8214.529,3181.653,5100.682,5114.978,8313.862,2650.917,13468.81,2897.104,1984.619,8525.974,2757.262,4840.033,8604.894,2009.135,9815.869,5284.999,3744.272,38576.1,2282.292,10760.09,4388.064,2681.233,283.8139,1807.465,2349.755,2846.188,5059.901,3800.141,2810.153,2583.872,6980.165
2031,3288.307,1484.374,1279.401,1696.796,11191.49,2049.326,7369.707,5540.838,2325.39,2269.931,2463.89,5328.021,2371.518,4142.205,2505.633,2581.914,1805.443,8551.427,5604.262,1515.181,1723.994,1628.518,2166.443,1338.185,6148.416,5133.824,7728.882,2332.304,4614.346,11306.88,2602.944,4312.415,8512.879,3277.166,5338.467,4967.899,9846.78,2399.948,12942.64,2684.688,2447.258,7689.889,2866.59,5260.718,7247.686,1854.484,9014.112,4939.173,3522.959,39682.4,2043.244,9230.632,4741.434,2639.64,247.7043,1709.399,1926.777,3288.99,4453.929,3451.92,2311.176,2181.614,7682.375
2030,3096.199,1393.131,1103.434,1724.509,10497.55,1919.063,6784.806,5524.12,2102.685,1981.371,2363.174,6123.428,2287.893,4105.475,2323.823,2016.951,2131.113,7560.188,5381.76,1427.88,1361.787,1601.227,1863.516,1092.561,6286.949,5605.033,6768.377,2202.124,4371.343,11230.46,2343.987,3945.648,7709.714,2859.087,6784.128,5071.891,10619.45,2621.777,12657.46,2594.842,1904.075,7334.826,2865.19,4888.646,7130.969,1894.609,8008.679,5005.317,4084.244,36034.02,2404.881,9509.043,3925.034,2545.502,341.2763,1485.443,2583.975,2098.166,4525.94,3931.743,2031.25,2358.624,7186.567
2029,2865.987,1111.268,1298.023,1684.289,10254.96,1971.243,6961.208,5489.268,2436.396,2139.517,2594.527,6742.55,2128.835,3951.18,1980.776,2157.587,1924.896,8907.412,4942.387,1346.586,1510.326,1606.75,2136.576,1229.794,6838.273,4759.45,6879.548,2369.357,4741.553,11434.37,2748.049,4072.857,8028.666,3119.422,4865.842,4966.63,8208.782,2545.023,12707.37,2580.855,2243.644,7412.986,3222.441,4796.027,6858.638,2057.697,8071.287,4717.577,4211.583,36076.7,2075.08,10063.75,4041.28,2393.547,257.1763,1740.908,2222.304,2332.651,4171.992,3253.394,2217.364,2213.766,7451.703
2028,2864.816,1376.51,1103.74,1761.183,10439.38,2123.053,7377.996,5476.246,2290.882,1987.942,2711.263,6548.708,2446.016,4419.038,2058.51,2282.067,1729.71,8924.715,5666.265,1349.898,1493.121,1494.837,2113.614,1156.2,6388.39,5428.695,6812.358,1919.429,4509.862,10833,2521.203,3878.758,8420.971,3286.509,5729.852,5170.695,8409.253,2226.036,13297.2,2715.78,1762.927,7507.761,2928.479,4818.424,7839.507,1931.706,8536.742,5397.117,4060.717,37040.29,2033.17,10642.71,4077.149,2344.138,215.1225,1763.65,1965.156,2413.559,4161.18,3541.014,2507.208,2412.027,7648.636
2027,2799.868,1367.607,1141.744,1861.901,10162.38,2141.015,6676.775,5952.377,2394.283,2253.489,3091.416,5975.7,1998.808,4590.816,2133.042,2284.992,1880.927,9797.139,5893.723,1247.546,1311.613,1714.675,1939.378,1141.201,6593.742,5241.682,8080.943,2535.165,4439.273,11365.14,2732.181,3802.191,8420.092,3040.556,6163.276,4902.844,10398,2555.222,12405.44,2961.674,2320.938,8771.411,2934.171,5516.146,6952.993,2599.064,8409.856,4904.877,4155.323,38381.58,2178.205,10847.87,4423.496,2686.73,330.7489,1662.659,2057.059,2140.467,4396.903,3214.923,2226.205,2345.24,7519.888
2026,2640.992,1280.334,1379.167,1823.875,10876.44,2225.843,7053.175,5314.312,2471.289,2195.274,3117.122,6304.448,2726.413,4618.825,2001.492,2433.314,1968.555,8933.955,5608.642,1519.196,1382.289,1613.413,2271.68,1183.501,6812.284,5181.975,7606.406,2266.142,4138.785,10729.32,2698.616,3749.096,8726.96,3324.074,5974.259,5943.499,9573.57,2465.064,13954.99,3407.085,2149.126,8991.954,3227.861,6240.322,7402.282,1949.331,8593.557,5551.623,4570.402,40765.57,2505.042,12118.11,4270.015,2836.33,339.26,1692.256,2081.449,1839.786,4528.243,3366.975,2932.583,2390.625,6967.494
2025,2663.711,1343.019,1282.443,1867.071,10429.87,2225.273,7445.135,5745.921,2550.308,2346.104,3036.467,6620.528,2618.196,4161.187,1859.918,2532.788,2193.881,9557.124,5750.526,1563.224,1418.606,1647.705,2081.186,1221.699,6243.494,5543.627,8078.892,2271.026,4465.403,10773.82,2597.377,3607.231,8789.791,3427.055,6019.032,5214.201,10973.53,3018.021,14798.82,3598.937,2238.466,8479.14,3195.849,5027.264,7898.499,2093.966,7697.957,5627.916,4924.08,41954.14,2471.123,11495.98,4652.703,3232.364,400.7772,1939.681,2286.32,2759.844,4434.264,3131.192,2393.091,2434.428,7598.664
2024,2515.625,1151.799,1200.808,1702.069,10420.46,2510.274,6375.404,5392.688,2636.389,2047.837,3180.947,6050.976,2214.39,3806.92,1783.072,2607.891,2169.151,9804.202,5617.082,1197.257,1338.046,1435.075,1798.417,1332.523,6453.351,5366.777,8126.611,2518.255,4020.751,10844.48,2668.032,3294.875,8536.813,3575.554,6166.912,5783.205,10996.39,2749.354,14856.58,2949.147,2777.122,7633.224,3200.059,5735.8,7050.064,2094.373,8054.44,5389.217,3798.539,39615.82,1629.608,11574.71,4637.138,3343.853,357.5919,1878.557,2196.205,2180.482,3952.588,3171.642,2127.928,2391.156,7783.767
2023,2387.107,1411.499,1186.495,1725.049,9186.882,1998.928,6888.6,5019.801,2199.239,2144.529,2838.544,6831.62,2457.045,4212.953,1901.312,2420.571,2258.149,10092.12,5418.926,1177.77,1160.578,1571.658,1784.753,1060.859,7000.213,5306.151,8364.849,2144.229,3675.113,10770.78,2759.753,3312.13,8849.83,3213.652,6676.368,5810.542,8570.26,3025.061,13826.49,2905.011,2599.372,9405.449,3409.132,6638.799,7897.88,2681.587,7507.823,5982.101,4321.686,40783.77,2373.408,10665.17,4708.901,2907.003,289.8735,1588.763,2101.512,2458.456,4623.765,3027.729,2775.119,2428.631,6877.874
2022,2081.987,1272.362,1139.788,1780.712,9345.801,2061.912,6639.45,4924.092,2392.809,2110.437,3085.578,7143.978,1767.45,3891.143,1437.262,2705.125,2326.724,9743.16,6700.098,1411.021,1160.669,1497.649,1695.699,1114.559,7043.113,5205.68,8371.001,2191.797,3543.028,10150.69,2520.175,2933.231,7690.747,3033.758,5369.257,5554.503,10135.7,2305.686,13689.57,3333.269,2420.307,7870.665,3260.608,6186.843,7707.313,2434.143,8628.981,5017.958,4013.761,38744.93,1947.726,12956.98,4378.75,3308.877,339.8004,1627.625,2189.897,2378.572,4532.349,2959.065,3545.33,2290.12,8268.454
2021,2069.435,1011.832,1203.097,1696.604,8295.408,2242.406,6963.6,4918.31,2604.201,1971.877,3413.118,6526.288,2256.843,4200.217,1624.747,2270.634,2118.662,9281.438,6081.608,1272.498,1056.601,1526.191,1806.111,962.154,7884.774,5235.472,8032.364,2473.152,3704.859,10887.28,2355.643,3071.059,7993.757,3317.295,6222.641,5843.039,11119.82,2350.496,13881.46,2979.464,2568.01,7958.247,3671.951,5846.483,8259.301,2421.62,7727.049,4791.622,4211.071,38392.82,2561.005,11650.33,4136.302,3597.455,356.2892,1661.309,2056.934,2278.067,3847.574,2686.734,2369.415,1889.896,7489.906
2020,1959.422,1260.157,1221.911,1683.147,8387.181,2104.487,7065.859,4774.479,2176.233,1746.61,3117.775,7055.998,2331.121,3769.77,1449.003,2304.987,2119.583,9662.982,6256.206,1506.759,944.9703,1508.177,1785.172,1062.854,7226.079,5142.732,7687.722,2489.776,3346.057,10448.04,2421.795,2440.705,7541.715,3184.279,6370.177,5770.772,10057.33,2272.551,13005.41,3206.911,2660.335,7704.813,3219.547,6389.94,6552.827,2160.144,8206.232,5068.846,4116.434,38255.08,2142.658,11540.59,4498.22,2796.247,270.5292,1634.788,2189.503,2216.379,3837.698,2533.488,2857.529,2292.135,6509.277
2019,1662.064,1253.606,1126.474,1561.012,8112.826,2104.03,6782.142,4529.017,2120.416,2225.582,3124.386,6498.382,2178.18,3670.625,1348.233,2734.212,2778.779,10134.78,6957.46,1187.166,996.5071,1347.734,1690.684,1109.745,7682.566,5202.646,8192.359,2121.051,3517.944,9238.903,2760.593,2441.691,7506.762,3437.291,5790.274,5183.655,10815.96,2719.141,15483.99,3678.982,2718.839,7967.91,3640.416,7125.287,7306.198,2105.88,8221.771,5123.297,4411.805,39679.04,1996.387,11620.1,4484.642,4200.527,320.4142,1537.901,2249.781,2029.618,4037.004,2861.951,3133.556,2345.248,7991.073
2018,1870.887,1114.867,1164.129,1785.098,7733.016,2262.963,6447.215,4438.597,2415.538,2223.775,3453.738,6215.28,2007.409,4183.411,1279.749,2744.663,2169.548,9703.695,5871.39,1431.167,862.3524,1736.305,1924.89,807.1251,7985.882,4473.105,8609.346,2375.518,3308.829,9986.134,2310.097,2447.451,7986.562,3028.936,6422.234,5360.261,10606.99,2240.079,14841.56,4029.899,2699.282,7755.721,2958.559,5638.12,7149.68,2232.981,8317.458,4676.063,4878.539,38515.91,2168.854,13318.62,4276.202,3616.531,275.8757,1365.099,1965.299,2338.855,4190.288,2819.159,2387.241,2221.173,7208.866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend elite four-year post-secondary institution after high school graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1995.987,1242.239,942.7654,972.334,12845.77,1216.089,6664.969,5240.371,2432.955,1525.749,1141.374,2683.503,1612.093,2379.343,1419.808,1163.885,1078.145,5014.837,2444.139,694.8337,796.3189,949.8093,1934.008,744.3951,2823.78,5148.428,3374.084,1360.239,4189.475,4522.425,2402.412,2775.373,5923.137,1933.651,2400.59,4432.818,8217.499,2233.203,6435.192,1192.313,1209.048,4505.336,1674.73,2648.936,5734.937,749.1359,7445.286,5556.767,1984.642,15743.6,2256.551,4503.525,2754.093,1520.449,395.1266,1627.547,2103.569,2425.348,5808.722,3758.083,1251.958,2131.674,8090.865
2034,2187.595,1274.02,893.1351,997.5056,12469.12,1262.525,7072.564,5993.488,2199.668,1491.745,1272.739,3032.915,1197.735,2268.556,1403.155,1264.805,1133.783,5560.828,2389.881,698.9597,863.9547,984.2875,1939.524,736.062,2924.236,5142.512,3330.706,1181.528,4604.438,4814.292,2439.91,2753.167,5037.144,1841.777,2357.982,5281.313,7621.558,2609.693,6624.39,1185.27,990.7905,4541.256,1592.88,2674.886,4502.188,779.2108,9940.664,4869.35,1641.029,16618.79,1878.483,4645.551,2573.021,1326.226,252.2228,1901.687,1405.89,2334.213,5321.377,3971.39,1348.269,1921.388,8568.408
2033,2158.481,1019.796,844.9017,914.2846,13066.61,1153.241,7009.547,5571.631,2300.631,1487.803,1121.609,2802.256,1241.48,2163.06,1364.233,1378.077,1349.168,6055.138,2419.019,695.2216,872.0388,1044.687,1845.765,698.092,3038.099,5354.923,3020.505,1310.463,4804.847,4540.465,2483.726,2602.408,5340.365,1595.691,2357.879,5312.361,8189.4,2682.08,6802.509,1222.212,976.604,5008.728,1787.167,2787.101,5383.85,739.3452,9894.724,5206.089,2238.912,18038.46,1786.586,4496.884,2893.821,909.8326,267.5567,1769.633,1448.406,2176.939,4837.652,2931.906,985.8837,2086.319,7899.419
2032,2073.159,1193.236,825.7111,998.681,13119.75,1260.404,7137.294,5230.685,2279.423,1413.535,1304.606,3010.049,1188.249,2147.594,1397.567,1389.282,1805.947,5596.286,2280.896,626.0718,861.2108,985.079,1833.28,806.4501,3107.226,5357.367,3284.753,1156.46,5053.401,4882.389,2540.565,2547.903,5042.558,1564.088,2393.503,4848.005,7394.221,2691.196,7156.671,1434.292,1050.6,5264.046,1445.897,2479.368,5486.388,867.112,10635.03,4620.943,1710.52,17920.98,1886.867,4934.301,2596.891,1237.56,351.3268,1939.904,1444.263,2660.11,5661.394,3571.657,1325.034,2276.201,8429.896
2031,1963.981,1155.047,762.9978,981.6841,13029.31,1146.124,7461.878,5409.078,2382.681,1424.923,1088.186,2470.328,1079.975,2083.658,1298.172,1446.358,1487.726,6251.447,2512.281,613.2484,950.6146,967.7458,1704.65,779.9778,2761.613,4920.014,3665.224,1288.454,4512.295,4342.02,2403.938,2366.867,5160.529,1426.921,2389.364,4964.733,8284.638,2452.7,6623.906,1318.325,1151.731,4899.013,1396.855,2650.199,4407.747,801.1065,10055.08,4642.213,1472.618,17517.36,1816.327,4205.864,2681.789,1186.385,231.0257,1899.788,1294.1,3316.258,5273.791,3502.635,976.0809,2034.089,8930.755
2030,1845.855,1043.968,630.9736,951.7388,11207.82,1037.309,6902.527,4902.195,2087.854,1117.284,1086.403,2871.92,1054.898,1908.524,1212.536,1093.582,1616.156,5662.51,2469.943,604.8557,729.2326,912.0067,1506.641,639.165,2777.636,5912.353,3265.577,1169.422,4211.116,4209.097,2151.708,2259.492,4512.151,1242.789,3024.695,5307.711,8063.604,2840.76,6704.231,1247.435,968.7366,4387.633,1292.347,2455.41,4365.032,827.7108,9295.496,4491.419,1789.74,16388.45,1776.34,4362.587,2225.457,1096.996,374.1035,1753.495,1563.778,2227.318,5528.071,3866.026,925.4865,2128.761,8535.949
2029,1734.239,896.7272,716.5411,826.0839,11641.28,1095.357,7659.304,5317.834,2445.694,1193.122,1077.014,3122.152,912.9003,1796.409,1017.601,1138.766,1338.072,6400.313,2240.954,526.1015,795.245,868.2408,1536.525,630.2988,2984.027,4661.33,3239.332,1327.379,4517.55,4428.785,2774.844,2303.234,4695.871,1197.058,2192.978,5281.022,7078.722,2608.613,6697.557,1352.024,1145.117,4363.091,1432.365,2524.337,4239.446,893.7462,9088.279,4416.738,1669.143,16158.17,1763.945,4915.479,2133.389,1176.58,311.1042,1820.275,1380.911,2362.416,5000.352,3195.539,972.7443,2071.252,8715.049
2028,1664.947,1061.256,560.8949,979.5698,11352.83,1073.107,8154.709,5099.933,2196.146,1002.72,1154.057,3021.813,1070.908,1930.996,1108.659,1160.874,1091.058,6133.442,2567.752,597.5359,762.211,849.181,1431.242,570.5565,2700.583,5499.657,3189.299,1005.011,4724.717,3940.734,2385.7,2134.754,4918.958,1110.6,2702.601,4826.62,6685.248,2168.216,6994.866,1417.739,841.5091,4290.445,1184.724,2430.137,4846.362,887.3615,9366.588,4943.912,1522.253,16573.51,1854.272,4517.899,2009.518,1007.635,242.5693,1849.605,1309.73,2831.644,5293.344,3712.461,984.2578,2248.915,8911.252
2027,1750.235,1109.313,625.149,870.6042,11186.94,982.9414,7281.293,5799.57,2411.3,1007.04,1263.275,2663.212,814.4115,1911.81,1132.45,1119.266,1484.436,6905.313,2666.309,467.6706,642.4106,886.9555,1368.776,618.2653,2746.323,5657.625,3707.152,1303.165,4546.802,4120.174,2610.141,2142.128,4804.635,995.7835,2786.979,5495.665,8191.703,2631.249,6577.594,1436.891,1140.495,5216.059,1207.248,2698.044,3975.127,1115.877,9780.953,4492.692,1668.69,16786,2206.221,4646.453,1944.754,1181.903,298.3708,1846.223,1210.459,2351.887,5343.868,3430.17,858.0427,2378.096,8758.347
2026,1632.827,1031.058,613.3661,870.3686,12484.11,974.5807,7753.565,4837.396,2513.063,968.4576,1278.193,2817.431,1090.383,1918.951,1107.058,1305.227,1265.325,5964.342,2400.231,566.9435,691.9127,824.5079,1408.888,568.4833,2692.744,5350.065,3397.599,1114.508,4289.324,3933.469,2665.78,2087.93,4862.587,1003.914,2744.602,6213.648,7769.375,2631.927,7007.167,1725.854,1001.884,5444.126,1271.876,2991.696,4395.599,727.9965,10170.07,4998.845,1840.115,17568.49,2012.214,5010.056,1787.539,1152.695,390.6117,1758.747,1203.04,2146.752,5927.761,3407.029,1068.056,2316.241,8724.057
2025,1612.982,1120.371,570.9069,936.0228,11513.4,940.6966,8427.462,5710.182,2691.742,931.7119,1264.182,2916.537,1006.815,1658.115,1019.192,1267.284,1473.882,6915.065,2540.343,550.3013,724.3135,788.1613,1254.624,555.4396,2394.614,5539.311,3498.247,1111.873,4815.769,3805.579,2351.897,2119.516,4746.269,1053.854,2730.244,5425.538,7914.164,2995.46,7640.275,1839.598,989.3408,5008.185,1212.787,2442.396,4838.912,823.9938,9206.01,5457.497,1970.514,17785.12,2234.029,4673.899,1932.605,1412.648,424.9751,1995.325,1336.355,3022.137,5587.988,3455.931,928.1284,2225.444,9143.947
2024,1583.632,1033.448,539.7783,811.6248,11437.09,947.587,6791.428,4971.78,2776.466,760.1078,1212.718,2522.458,827.7587,1504.524,1044.519,1296.295,1577.52,7012.798,2640.468,452.5283,683.5328,673.7557,1107.011,507.8828,2601.231,5675.313,3386.128,1228.167,4308.415,3929.117,2565.065,1939.103,4486.467,984.0606,2581.78,6242.755,8480.245,2983.292,7553.739,1421.934,1229.75,4323,1116.984,2731.124,3977.384,819.638,9583.028,4908.746,1391.495,17205.94,1608.32,4622.61,1810.251,1315.622,374.8285,1963.148,1255.741,2569.294,4839.481,3349.799,727.6086,2449.713,9394.18
2023,1475.514,1391.389,479.3106,790.8936,10561.22,780.0543,7408.579,4994.439,2358.508,796.2675,1029.254,3009.268,779.1928,1583.677,1176.888,1174.881,1575.656,6986.618,2366.664,406.6861,621.0972,683.6334,1025.231,443.7315,2670.519,5762.272,3537.834,1058.007,3964.282,3718.41,2879.314,1922.426,4625.569,807.083,3059.584,6219.046,6856.482,3209.621,6811.166,1485.1,1180.028,5300.322,1218.174,3387.027,4630.558,1026.524,8881.681,5632.854,1612.032,17505.84,2545.72,4320.035,1665.978,1073.199,471.5503,1846.657,1195.413,3029.12,5876.358,3533.468,981.0425,2392.951,8160.547
2022,1278.473,1207.736,440.746,887.7486,11002.65,759.0566,7229.592,4929.461,2615.374,721.5181,1158.067,3058.661,592.5668,1398.624,808.3179,1260.908,1799.756,6832.143,2947.829,510.6868,620.506,677.9409,893.261,445.5177,2766.163,5483.97,3501.858,1043.934,3915.823,3512.65,2847.68,1768.68,4110.841,735.9241,2114.489,5804.252,8202.049,2844.507,6506.568,1527.538,1059.239,4323.424,927.5227,2896.274,4219.981,938.5039,10398.61,4787.971,1467.426,16255.62,1785.651,5399.659,1651.625,1216.142,385.9419,1864.141,1120.947,3162.123,5586.838,3078.336,1336.253,2389.866,10127.19
2021,1326.317,1060.513,408.5538,822.2654,9730.036,747.29,7614.339,4923.108,2817.57,594.5927,1316.665,2557.561,768.1802,1372.338,1008.081,1006.821,1583.132,6525.818,2541.316,366.636,544.251,576.6323,870.3367,350.2573,3145.205,5818.064,3210.49,1137.053,4308.835,3499.476,2350.552,1805.254,3986.066,758.9421,2325.765,6424.799,8434.513,2477.353,6631.662,1309.846,1138.096,4173.816,1113.034,2745.877,4419.913,830.2756,9350.07,4510.387,1392.825,15789.38,2688.095,4848.531,1449.241,1435.676,553.0831,1716.211,1082.445,2628.815,5127.654,2788.396,752.2436,1881.72,9193.919
2020,1194.897,1175.162,349.7657,726.0918,9472.972,674.676,7786.563,4557.47,2459.086,513.4569,1157.687,2580.547,680.9685,1231.21,818.6857,975.2028,1614.514,6786.673,2509.377,524.5588,472.6383,582.9905,699.266,346.943,2418.856,5524.591,3067.521,1115.323,3748.327,3493.229,2764.84,1373.094,3767.08,678.8386,2459.822,6272.84,8188.172,2596.841,6215.761,1403.065,1237.657,4151.295,902.091,2898.035,3544.368,703.6346,9871.042,5260.928,1414.956,15832.37,2043.734,4743.223,1442.71,1107.859,356.2596,1854.754,1070.377,2958.806,4797.061,2873.992,987.8433,2372.143,7929.996
2019,1012.085,1131.358,362.7746,673.737,9631.598,554.5126,7395.612,4618.334,2193.471,518.5251,1099.093,2482.847,564.4943,1087.81,835.9384,1104.572,1717.815,7041.277,2689.79,357.0969,513.2782,508.1252,618.2437,359.4322,2595.232,5327.062,3174.254,979.3711,4186.809,2977.778,3053.464,1469.653,3813.646,742.2281,2246.379,5477.291,7900.4,2746.838,7117.119,1439.21,1132.89,3964.086,1012.382,3080.634,3887.594,671.4573,9458.054,5393.32,1284.085,15658.84,1958.688,4734.871,1366.435,1527.594,560.8757,1820.783,1119.776,2470.273,4936.022,2996.265,959.7041,2419.45,9544.388
2018,1163.342,1060.497,267.0693,742.5428,8899.525,601.834,6907.138,4465.954,2356.854,527.7969,1295.825,2413.437,529.9843,1143.446,751.4011,1173.742,1638.405,6623.009,2145.847,386.2074,477.3431,543.5685,581.6769,252.1833,2873.01,4537.462,3332.962,1008.787,3645.541,3130.268,2387.737,1429.953,3689.633,543.3179,2489.411,5531.84,8026.896,2357.266,6870.814,2027.969,1073.182,4082.433,765.8091,2538.436,4033.559,618.2457,10091.4,4658.783,1573.306,15172.1,2345.306,5048.897,1142.751,1399.241,345.2993,1672.222,1069.561,2861.325,4694.233,2983.215,724.6613,2166.404,8293.504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend public four-year post-secondary institution after high school graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,21221.25,9285.023,7889.479,13874.09,69568.34,11218.98,48090.94,39786.53,19661.23,13542.72,13346.43,26419.53,17956.89,28013.65,16517.42,17094,5040.145,19886.04,24452.18,9126.725,11105.85,11289.28,13040.47,7223.911,21827.74,37155.1,32251.53,17866.78,30481.37,28141.34,20344.25,28946.04,66528.58,19801.63,24324.36,30162.28,25925.79,14118.24,40553.96,10525.37,9133.291,42142.77,15459.09,21045.79,50231.54,9739.028,35233.14,32547.24,19833.63,74767.72,13443.25,26058.49,23284.66,9529.599,2500.947,9923.395,17388.48,11396.95,18315.88,19029.85,13331.67,13733.7,37829.65
2034,22389.47,9132.736,7468.729,14065.97,65593.87,11709.92,46596.04,43523.21,19814.31,13188.64,13313.68,30448.59,16321.56,28127.65,16434.37,17836.85,5736.347,23423.16,25047.26,9880.72,11245.27,11527.59,13160.92,7235.121,21935.1,37623.52,34111.59,16800.78,31374.18,30759.61,19117.1,30046.3,56863.69,20428.31,24957.95,32854.2,22258.78,17825.25,44143.32,11312.99,8491.333,41156.88,15666.92,21520.02,43231.69,10201.97,43934.7,31079.15,19379.45,84247.03,12816.99,26944.73,24279.13,8679.379,1297.257,9488.061,15544.38,11468.86,17295.01,19028.31,14680.11,14043.91,40177.7
2033,22183,8095.998,7589.747,13952.36,68329.71,10935.87,51294.36,42562,20937.42,13271.78,13066.88,29554.48,15773.97,27550.08,17516.81,19607.11,6471.785,22539.67,25687.65,10723.79,11806.61,12485.19,13649.31,7026.952,23052.42,38605.71,31150.71,18227.98,31938.14,27611.31,20682.18,30044.23,59827.88,18212.21,24504.17,32621.51,22142.6,15526.3,42664.15,10816.01,8207.232,45492.41,15901.76,22072.67,47789.27,10029.13,42451.67,31926.28,23613.11,87061,13271.76,28023.96,24688.11,7231.332,1770.2,9393.449,15898.43,11631.28,15953.13,16586.28,12556.07,14696.37,37786.7
2032,23645.92,8161.787,8350.997,15038.12,67012.97,12544.77,52856.19,42037.91,20424.95,14518.28,13772.87,29932.42,14977.48,29046.94,18355.89,21477.36,6886.972,21652.97,24337.27,10344.44,12258.37,11209.95,13262.53,8653.841,23788.98,41498.86,34784.2,16937.65,32401.56,30732.8,19326.9,30427.68,60248.63,19115.72,24607.75,33450.12,20265.32,16815.58,47177.49,12278.62,8129.836,48232.61,15328.72,20559.14,46580.25,12116.44,44303.45,31422.09,20899.85,87798.85,14631.36,29638.7,25521.06,8464.671,1778.41,10195.73,16549.52,13101.87,18656.69,18870.87,14457.91,16071.07,39071.07
